X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2664678441679,44.9501445943124,0028XX OAKLAND AVE,MP2018276058        ,3     ,2018/08/16 00:00:00+00,1529,2018/08/16 00:00:00+00,2018/08/16 15:29:00+00,900,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/17 00:00:00+00,18090,-93.26646,44.95014,-10382375.7085,5613676.1847,Phillips West,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3243
-93.2472582952852,44.9689746474103,0004XX CEDAR AVE S,MP2018276147        ,1     ,2018/08/16 00:00:00+00,1905,2018/08/15 00:00:00+00,2018/08/16 19:05:00+00,1700,THEFT   ,OTHER THEFT                   ,07 ,2018/08/17 00:00:00+00,14908,-93.24725,44.96897,-10380237.3113,5616638.5011,Cedar Riverside,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3244
-93.2524240025293,44.9386427729713,0035XX BLOOMINGTON AVE,MP2018276188        ,3     ,2018/08/16 00:00:00+00,1757,2018/08/16 00:00:00+00,2018/08/16 17:57:00+00,1100,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/17 00:00:00+00,20676,-93.25242,44.93864,-10380812.3552,5611867.2131,Powderhorn Park,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3245
-93.3082095990654,44.9996702147286,0020XX PENN AVE N,MP2018276274        ,4     ,2018/08/16 00:00:00+00,1645,2018/08/15 00:00:00+00,2018/08/16 16:45:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/17 00:00:00+00,21013,-93.3082,44.99967,-10387022.3794,5621469.5684,Willard - Hay,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3246
-93.3037881648988,45.0039660944282,0024XX LOGAN AVE N,MP2018276324        ,4     ,2018/08/16 00:00:00+00,1945,2018/08/16 00:00:00+00,2018/08/16 19:45:00+00,1744,ASLT4   ,ASLT4-SUBST HARM OR WEAPON    ,05 ,2018/08/17 00:00:00+00,15202,-93.30378,45.00396,-10386530.1876,5622145.8882,Jordan,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3247
-93.313446002824,44.9744581885883,0002XX THOMAS AVE S,MP2018276329        ,4     ,2018/08/16 00:00:00+00,2035,2018/08/16 00:00:00+00,2018/08/16 20:35:00+00,1000,BIKETF  ,BIKE THEFT                    ,07,2018/08/17 00:00:00+00,22147,-93.31344,44.97445,-10387605.2932,5617501.3466,Bryn - Mawr,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3248
-93.2456087979807,45.0064292759436,0018XX POLK ST NE,MP2018276390        ,2     ,2018/08/16 00:00:00+00,1902,2018/08/15 00:00:00+00,2018/08/16 19:02:00+00,1830,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/17 00:00:00+00,22480,-93.2456,45.00642,-10380053.6901,5622533.7009,Windom Park,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3249
-93.2725294295668,44.97833114132,0004XX 6TH ST S,MP2018276418        ,1     ,2018/08/16 00:00:00+00,2028,2018/08/16 00:00:00+00,2018/08/16 20:28:00+00,1845,TFPER   ,THEFT FROM PERSON SNATCH/GRAB ,07 ,2018/08/17 00:00:00+00,17241,-93.27252,44.97833,-10383050.4811,5618110.8127,Downtown West,2020/05/13 00:00:00+00,2022/03/17 09:10:30+00,3250
-93.2788078386308,44.9483470443941,0002XX LAKE ST W,MP2018276424        ,5     ,2018/08/16 00:00:00+00,2309,2018/08/16 00:00:00+00,2018/08/16 23:09:00+00,1855,THEFT   ,OTHER THEFT                   ,07 ,2018/08/17 00:00:00+00,21928,-93.2788,44.94834,-10383749.3904,5613393.4476,Whittier,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3251
-93.2444368378947,44.9826434057681,0008XX UNIVERSITY AVE SE,MP2018276485        ,2     ,2018/08/16 00:00:00+00,2224,2018/08/15 00:00:00+00,2018/08/16 22:24:00+00,1200,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018/08/17 00:00:00+00,20968,-93.24443,44.98264,-10379923.2281,5618789.4594,Marcy Holmes,2018/08/17 00:00:00+00,2022/03/17 09:10:30+00,3252
