OID_,Status,Score,Match_type,Match_addr,LongLabel,ShortLabel,Addr_type,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,Nbrhd,District,City,MetroArea,Subregion,Region,RegionAbbr,Territory,Zone,Postal,PostalExt,Country,CntryName,LangCode,Distance,X,Y,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo,IN_SingleLine,USER_combined
3908,M,91.040000000000006,A,N Hampden Ave & Hersey St,N Hampden Ave & Hersey St,N Hampden Ave & Hersey St,StreetInt,,,N Hampden Ave & Hersey St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,N Hampden Ave & Hersey St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.192449771152994,44.967025003157318,-93.192449771152994,44.967025003157318,-93.193449771005049,-93.191449771300952,44.966025003372664,44.968025002941950,,HAMPDEN AV & HERSEY ST,HAMPDEN AV & HERSEY ST
3909,M,94.439999999999998,A,Hampden & Charles Ave,Hampden & Charles Ave,Hampden & Charles Ave,StreetInt,,,Hampden & Charles Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hampden & Charles Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.192467771677414,44.963182003719282,-93.192467771677414,44.963182003719282,-93.193467771529441,-93.191467771825387,44.962182003934664,44.964182003503922,AV,HAMPDEN AV & CHARLES AV,HAMPDEN AV & CHARLES AV
3910,M,91.040000000000006,A,N Hampden Ave & Myrtle Ave,N Hampden Ave & Myrtle Ave,N Hampden Ave & Myrtle Ave,StreetInt,,,N Hampden Ave & Myrtle Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,N Hampden Ave & Myrtle Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.193682771617901,44.961094004108361,-93.193682771617901,44.961094004108361,-93.194682771469942,-93.192682771765874,44.960094004323736,44.962094003892986,,HAMPDEN AV & MYRTLE AV,HAMPDEN AV & MYRTLE AV
3911,M,91.040000000000006,A,W Hampden Ave & Raymond Ave,W Hampden Ave & Raymond Ave,W Hampden Ave & Raymond Ave,StreetInt,,,W Hampden Ave & Raymond Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,W Hampden Ave & Raymond Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.197737269323198,44.969338003187133,-93.197737269323198,44.969338003187133,-93.198737269175297,-93.196737269471100,44.968338003402472,44.970338002971786,,HAMPDEN AV & RAYMOND AV,HAMPDEN AV & RAYMOND AV
3912,M,85.180000000000007,A,N Hampden Ave & University Ave W,N Hampden Ave & University Ave W,N Hampden Ave & University Ave W,StreetInt,,,N Hampden Ave & University Ave W,,,20.000000000000000,,,,,,,,,,,,,,,,,,,N Hampden Ave & University Ave W,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.192899771707729,44.962066003912142,-93.192899771707729,44.962066003912142,-93.193899771559771,-93.191899771855716,44.961066004127503,44.963066003696760,,HAMPDEN AV & UNIVERSITY AV,HAMPDEN AV & UNIVERSITY AV
3913,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HAMPSHIRE AV & ORME NA,HAMPSHIRE AV & ORME NA
3914,M,83.469999999999999,A,N Hampden Ave & W Territorial Rd,N Hampden Ave & W Territorial Rd,N Hampden Ave & W Territorial Rd,StreetInt,,,N Hampden Ave & W Territorial Rd,,,20.000000000000000,,,,,,,,,,,,,,,,,,,N Hampden Ave & W Territorial Rd,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.192458771490251,44.964559003517763,-93.192458771490251,44.964559003517763,-93.193458771342279,-93.191458771638210,44.963559003733131,44.965559003302381,,HAMPDEN AV & TERRITORIAL RD,HAMPDEN AV & TERRITORIAL RD
3915,M,88.650000000000006,A,Hampshire Ave & Yorkshire Ave,Hampshire Ave & Yorkshire Ave,Hampshire Ave & Yorkshire Ave,StreetInt,,,Hampshire Ave & Yorkshire Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hampshire Ave & Yorkshire Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.175808783536795,44.911558010103533,-93.175808783536795,44.911558010103533,-93.176808783388395,-93.174808783685179,44.910558010319050,44.912558009888023,CT,HAMPSHIRE AV & YORKSHIRE CT,HAMPSHIRE AV & YORKSHIRE CT
3916,M,96.090000000000003,A,Hampshire Ave & Fairview Ave S,Hampshire Ave & Fairview Ave S,Hampshire Ave & Fairview Ave S,StreetInt,,,Hampshire Ave & Fairview Ave S,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hampshire Ave & Fairview Ave S,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.177203783324828,44.910199010398927,-93.177203783324828,44.910199010398927,-93.178203783176443,-93.176203783473227,44.909199010614451,44.911199010183410,,HAMPSHIRE AV & FAIRVIEW AV,HAMPSHIRE AV & FAIRVIEW AV
3917,M,84.590000000000003,A,N Hancock St & E Margaret St,N Hancock St & E Margaret St,N Hancock St & E Margaret St,StreetInt,,,N Hancock St & E Margaret St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,N Hancock St & E Margaret St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.055177311206577,44.961246994481300,-93.055177311206577,44.961246994481300,-93.056177311057766,-93.054177311355417,44.960246994696789,44.962246994265833,,HANCOCK ST & MARGARET ST,HANCOCK ST & MARGARET ST
3918,M,100.000000000000000,A,Hampshire Ave & Yorkshire Ave,Hampshire Ave & Yorkshire Ave,Hampshire Ave & Yorkshire Ave,StreetInt,,,Hampshire Ave & Yorkshire Ave,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hampshire Ave & Yorkshire Ave,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.175808783536795,44.911558010103533,-93.175808783536795,44.911558010103533,-93.176808783388395,-93.174808783685179,44.910558010319050,44.912558009888023,,HAMPSHIRE AV & YORKSHIRE AV,HAMPSHIRE AV & YORKSHIRE AV
3919,M,80.730000000000004,A,N Hancock St & E 4th St,N Hancock St & E 4th St,N Hancock St & E 4th St,StreetInt,,,N Hancock St & E 4th St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,N Hancock St & E 4th St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.053134312160950,44.958555994733345,-93.053134312160950,44.958555994733345,-93.054134312012096,-93.052134312309818,44.957555994948812,44.959555994517864,,HANCOCK ST & 4 ST,HANCOCK ST & 4 ST
3920,M,89.299999999999997,A,Hardenbergh Pl N & W Atwater St,Hardenbergh Pl N & W Atwater St,Hardenbergh Pl N & W Atwater St,StreetInt,,,Hardenbergh Pl N & W Atwater St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hardenbergh Pl N & W Atwater St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.104893296243702,44.966610997142062,-93.104893296243702,44.966610997142062,-93.105893296095218,-93.103893296392187,44.965610997357487,44.967610996926624,,HARDENBERGH PL & ATWATER ST,HARDENBERGH PL & ATWATER ST
3921,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HARBOR ST & WATER ST,HARBOR ST & WATER ST
3922,M,75.780000000000001,A,Hardenbergh Pl N & W Atwater St,Hardenbergh Pl N & W Atwater St,Hardenbergh Pl N & W Atwater St,StreetInt,,,Hardenbergh Pl N & W Atwater St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hardenbergh Pl N & W Atwater St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.104893296243702,44.966610997142062,-93.104893296243702,44.966610997142062,-93.105893296095218,-93.103893296392187,44.965610997357487,44.967610996926624,CR,HARDENBERGH PL & ATWATER CR,HARDENBERGH PL & ATWATER CR
3923,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HARRIET ISLAND & WABASHA ST,HARRIET ISLAND & WABASHA ST
3924,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HARRIETISLAND & WABASHA ST,HARRIETISLAND & WABASHA ST
3925,M,86.519999999999996,A,Hardenbergh Pl N & W Lyton Pl,Hardenbergh Pl N & W Lyton Pl,Hardenbergh Pl N & W Lyton Pl,StreetInt,,,Hardenbergh Pl N & W Lyton Pl,,,20.000000000000000,,,,,,,,,,,,,,,,,,,Hardenbergh Pl N & W Lyton Pl,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.104897796381081,44.965602997289615,-93.104897796381081,44.965602997289615,-93.105897796232568,-93.103897796529566,44.964602997505025,44.966602997074183,,HARDENBERGH PL & LYTON PL,HARDENBERGH PL & LYTON PL
3926,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HARRIET ISLAND BD & WEST SIDE FLATS NA,HARRIET ISLAND BD & WEST SIDE FLATS NA
3927,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HARRIETISLAND RD & FILLMORE AV,HARRIETISLAND RD & FILLMORE AV
3928,U,0.000000000000000,A,,,,,,,,,,0.000000000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,,HARRIET ISLAND BD E & WEST SIDE FLATS NA,HARRIET ISLAND BD E & WEST SIDE FLATS NA
3929,M,83.909999999999997,A,W Harrison Ave & S Garfield St,W Harrison Ave & S Garfield St,W Harrison Ave & S Garfield St,StreetInt,,,W Harrison Ave & S Garfield St,,,20.000000000000000,,,,,,,,,,,,,,,,,,,W Harrison Ave & S Garfield St,,,,,,,,,,,,,,,USA,ENG,0.000000000000000,-93.113564797479867,44.939575001694159,-93.113564797479867,44.939575001694159,-93.114564797331269,-93.112564797628480,44.938575001909633,44.940575001478678,,HARRISON AV & GARFIELD ST,HARRISON AV & GARFIELD ST
